thai,parts,n_parts,cos_sum,cos_mean,rank,in_top5
พี่สาว,พี่+สาว,2,0.625419557094574,0.625419557094574,1,True
นิดหน่อย,นิด+หน่อย,2,0.7082840800285339,0.7082840800285339,1,True
ขอโทษ,ขอ+โทษ,2,0.42505109310150146,0.42505109310150146,1,True
ลาก่อน,ลา+ก่อน,2,0.38335925340652466,0.38335925340652466,1,True
สถานที่,สถาน+ที่,2,0.5748069882392883,0.5748069882392883,1,True
สนามบิน,สนาม+บิน,2,0.4256291091442108,0.4256291091442108,1,True
สวนสัตว์,สวน+สัตว์,2,0.49423831701278687,0.49423831701278687,1,True
สถานที่,สถาน+ที่,2,0.5748069882392883,0.5748069882392883,1,True
สนามบิน,สนาม+บิน,2,0.4256291091442108,0.4256291091442108,1,True
สวนสัตว์,สวน+สัตว์,2,0.49423831701278687,0.49423831701278687,1,True
สนามบิน,สนาม+บิน,2,0.4256291091442108,0.4256291091442108,1,True
สวนสัตว์,สวน+สัตว์,2,0.49423831701278687,0.49423831701278687,1,True
สถานที่,สถาน+ที่,2,0.5748069882392883,0.5748069882392883,1,True
รองเท้า,รอง+เท้า,2,0.31926724314689636,0.31926724314689636,1,True
แตงโม,แตง+โม,2,0.4420340955257416,0.4420340955257416,1,True
ขอโทษ,ขอ+โทษ,2,0.42505109310150146,0.42505109310150146,1,True
สักครู่,สัก+ครู่,2,0.4686295986175537,0.4686295986175537,1,True
แนะนำ,แนะ+นำ,2,0.3926095962524414,0.3926095962524414,1,True
เลี้ยวซ้าย,เลี้ยว+ซ้าย,2,0.5856292843818665,0.5856292843818665,1,True
ขวามือ,ขวา+มือ,2,0.4521944224834442,0.4521944224834442,1,True
อันนั้น,อัน+นั้น,2,0.4471639096736908,0.4471639096736908,1,True
ก่อสร้าง,ก่อ+สร้าง,2,0.4377879798412323,0.4377879798412323,1,True
เครื่องบิน,เครื่อง+บิน,2,0.4920898973941803,0.4920898973941803,1,True
ผู้โดยสาร,ผู้+โดยสาร,2,0.5336501598358154,0.5336501598358154,1,True
สิงหาคม,สิงหา+คม,2,0.5195354223251343,0.5195354223251343,1,True
ธันวาคม,ธันวา+คม,2,0.4991038143634796,0.4991038143634796,1,True
พระจันทร์,พระ+จันทร์,2,0.3939438760280609,0.3939438760280609,1,True
ภาคใต้,ภาค+ใต้,2,0.5249884128570557,0.5249884128570557,1,True
ชายหาด,ชาย+หาด,2,0.6172937154769897,0.6172937154769897,1,True
ความสุข,ความ+สุข,2,0.503031313419342,0.503031313419342,1,True
กรุงเทพ,กรุง+เทพ,2,0.28351283073425293,0.28351283073425293,1,True
ความหมาย,ความ+หมาย,2,0.3474040925502777,0.3474040925502777,1,True
พี่สาว,พี่+สาว,2,0.625419557094574,0.625419557094574,1,True
นิดหน่อย,นิด+หน่อย,2,0.7082840800285339,0.7082840800285339,1,True
ขอโทษ,ขอ+โทษ,2,0.42505109310150146,0.42505109310150146,1,True
ลาก่อน,ลา+ก่อน,2,0.38335925340652466,0.38335925340652466,1,True
สถานที่,สถาน+ที่,2,0.5748069882392883,0.5748069882392883,1,True
สนามบิน,สนาม+บิน,2,0.4256291091442108,0.4256291091442108,1,True
