thai,parts,n_parts,per_part_cos,min_part_cos,mean_part_cos,max_part_cos,gap,sum_rank
ดำเนิน,ดำ+เนิน,2,-0.127;0.202,-0.12749631702899933,0.037248462438583374,0.20199324190616608,0.3294895589351654,206
ของหวาน,ของ+หวาน,2,-0.080;0.469,-0.0797344297170639,0.19444341212511063,0.46862125396728516,0.5483556836843491,15
ของหวาน,ของ+หวาน,2,-0.080;0.469,-0.0797344297170639,0.19444341212511063,0.46862125396728516,0.5483556836843491,15
ดิฉัน,ดิ+ฉัน,2,-0.052;0.514,-0.05161667242646217,0.23130282573401928,0.5142223238945007,0.5658389963209629,8
เขย่า,เข+ย่า,2,0.025;-0.051,-0.05078442394733429,-0.012646459974348545,0.0254915039986372,0.07627592794597149,322
ทุเรียน,ทุ+เรียน,2,0.040;-0.050,-0.050138119608163834,-0.005230769515037537,0.03967658057808876,0.0898147001862526,381
ทุเรียน,ทุ+เรียน,2,0.040;-0.050,-0.050138119608163834,-0.005230769515037537,0.03967658057808876,0.0898147001862526,381
ครอบครัว,ครอบ+ครัว,2,-0.049;0.192,-0.048821739852428436,0.07148997113108635,0.19180168211460114,0.24062342196702957,136
ครอบครัว,ครอบ+ครัว,2,-0.049;0.192,-0.048821739852428436,0.07148997113108635,0.19180168211460114,0.24062342196702957,136
หน้าต่าง,หน้า+ต่าง,2,0.273;-0.048,-0.04781809076666832,0.11269913800060749,0.2732163667678833,0.3210344575345516,31
เหล้า,เห+ล้า,2,0.109;-0.026,-0.02557249367237091,0.04153711721301079,0.10864672809839249,0.1342192217707634,184
เหล้า,เห+ล้า,2,0.109;-0.026,-0.02557249367237091,0.04153711721301079,0.10864672809839249,0.1342192217707634,184
ประตู,ประ+ตู,2,-0.025;0.137,-0.025190560147166252,0.05574555043131113,0.1366816610097885,0.16187222115695477,49
ประตู,ประ+ตู,2,-0.025;0.137,-0.025190560147166252,0.05574555043131113,0.1366816610097885,0.16187222115695477,49
ทางตัน,ทาง+ตัน,2,0.132;-0.023,-0.02301008440554142,0.0545010669156909,0.13201221823692322,0.15502230264246464,52
ทางตัน,ทาง+ตัน,2,0.132;-0.023,-0.02301008440554142,0.0545010669156909,0.13201221823692322,0.15502230264246464,52
บางครั้ง,บาง+ครั้ง,2,0.374;-0.021,-0.020514732226729393,0.17656501848250628,0.37364476919174194,0.39415950141847134,8
ประเภท,ประ+เภท,2,-0.020;0.236,-0.020461877807974815,0.1077107461169362,0.23588337004184723,0.25634524784982204,10
อาหาร,อา+หาร,2,-0.017;0.075,-0.01684982143342495,0.029228118248283863,0.07530605792999268,0.09215587936341763,152
อาหาร,อา+หาร,2,-0.017;0.075,-0.01684982143342495,0.029228118248283863,0.07530605792999268,0.09215587936341763,152
ขอบคุณ,ขอบ+คุณ,2,0.003;0.071,0.0033701970241963863,0.037102193338796496,0.0708341896533966,0.06746399262920022,296
ขอบคุณ,ขอบ+คุณ,2,0.003;0.071,0.0033701970241963863,0.037102193338796496,0.0708341896533966,0.06746399262920022,296
ขอบคุณ,ขอบ+คุณ,2,0.003;0.071,0.0033701970241963863,0.037102193338796496,0.0708341896533966,0.06746399262920022,296
ขอบคุณ,ขอบ+คุณ,2,0.003;0.071,0.0033701970241963863,0.037102193338796496,0.0708341896533966,0.06746399262920022,296
สามแยก,สาม+แยก,2,0.011;0.333,0.010771692730486393,0.17178301559761167,0.33279433846473694,0.32202264573425055,18
สามแยก,สาม+แยก,2,0.011;0.333,0.010771692730486393,0.17178301559761167,0.33279433846473694,0.32202264573425055,18
รสชาติ,รส+ชาติ,2,0.552;0.020,0.020196346566081047,0.2862009247764945,0.552205502986908,0.5320091564208269,1
เวียดนาม,เวียด+นาม,2,0.441;0.020,0.020415715873241425,0.23070242628455162,0.4409891366958618,0.4205734208226204,3
เวียดนาม,เวียด+นาม,2,0.441;0.020,0.020415715873241425,0.23070242628455162,0.4409891366958618,0.4205734208226204,3
ที่แล้ว,ที่+แล้ว,2,0.021;0.305,0.020680680871009827,0.16286353021860123,0.3050463795661926,0.2843656986951828,62
ที่แล้ว,ที่+แล้ว,2,0.021;0.305,0.020680680871009827,0.16286353021860123,0.3050463795661926,0.2843656986951828,62
กระโดด,กระ+โดด,2,0.022;0.565,0.022077597677707672,0.29344551637768745,0.5648134350776672,0.5427358373999596,1
แสดง,แส+ดง,2,0.040;0.026,0.02628670446574688,0.03302482981234789,0.0397629551589489,0.013476250693202019,177
โกหก,โก+หก,2,0.027;0.097,0.02675461955368519,0.06172227580100298,0.09668993204832077,0.06993531249463558,130
แท็กซี่,แท็ก+ซี่,2,0.051;0.028,0.02791852131485939,0.039297495037317276,0.05067646875977516,0.02275794744491577,147
