thai,english,parts,n_parts,n_glossed,score_A,score_B,score_C
กลางคืน,night time,กลาง+คืน,2,2,0.0873516136183908,0.028278069393519723,0.6803282092859524
ผลไม้,fruit,ผล+ไม้,2,2,0.12066600934318714,0.11614433570436623,0.3714870990786447
ผลไม้,fruit,ผล+ไม้,2,2,0.12066600934318714,0.11614433570436623,0.3714870990786447
เหล้า,liquor; whisky,เห+ล้า,2,2,0.13025932119748954,0.046299904584884644,0.5195649919427872
เที่ยงคืน,"12 a.m., midnight",เที่ยง+คืน,2,2,0.15832174544011468,0.0310146882849559,0.625409389915601
เที่ยงคืน,"12 a.m., midnight",เที่ยง+คืน,2,2,0.15832174544011468,0.0310146882849559,0.625409389915601
แท็กซี่,taxi,แท็ก+ซี่,2,2,0.1657525021428306,0.03297090530395508,0.5233852131814699
แท็กซี่,taxi,แท็ก+ซี่,2,2,0.1657525021428306,0.03297090530395508,0.5233852131814699
กลางคืน,nighttime,กลาง+คืน,2,2,0.17928443219575935,0.10421805083751678,0.6803282092859524
เขย่า,to shake,เข+ย่า,2,2,0.18342797770450583,0.09243704929572638,0.9341018345378165
กระเทียม,garlic,กระ+เทียม,2,2,0.1840539231715857,0.04940730627818741,0.41395630312905274
กระเทียม,garlic,กระ+เทียม,2,2,0.1840539231715857,0.04940730627818741,0.41395630312905274
เท่าไร,how much,เท่า+ไร,2,2,0.18727266073922033,0.06880921125411987,0.665266258850614
มะเขือ,eggplant,มะ+เขือ,2,2,0.1876837620670608,0.13321341574192047,0.5462738382087172
มะเขือ,eggplant,มะ+เขือ,2,2,0.1876837620670608,0.13321341574192047,0.5462738382087172
เหล้า,whisky,เห+ล้า,2,2,0.19005497834000668,0.06067075580358505,0.5195649919427872
ภาคใต้,southern Thailand,ภาค+ใต้,2,2,0.1942265583523072,0.10908492559700761,0.805692652331897
ประเภท,type; kind; category,ประ+เภท,2,2,0.20110270000753858,0.04691339936336275,0.8150654250275208
ทำสวน,gardening,ทำ+สวน,2,2,0.20347456793017613,0.16016118228435516,0.7567833109352913
รถติด,traffic jam,รถ+ติด,2,2,0.20369319614099277,0.20082597434520721,0.8164403381111969
รถติด,traffic jam,รถ+ติด,2,2,0.20369319614099277,0.20082597434520721,0.8164403381111969
น้ำตาล,sugar,น้ำ+ตาล,2,2,0.20440488535309914,0.1259458140102514,0.3159218927639572
น้ำตาล,sugar,น้ำ+ตาล,2,2,0.20440488535309914,0.1259458140102514,0.3159218927639572
กรุงเทพ,Bangkok,กรุง+เทพ,2,2,0.20510233268589662,0.12185342609882355,0.46810740880178203
ชมพู่,rose apple,ชม+พู่,2,2,0.21694175612598582,0.19702303093809073,0.5849293481702796
ชมพู่,rose apple,ชม+พู่,2,2,0.21694175612598582,0.19702303093809073,0.5849293481702796
สีแยก,four-way intersection,สี+แยก,2,2,0.2234551240207973,0.18942939106050918,0.9509112734430988
กระโดด,to jump,กระ+โดด,2,2,0.22603730977558784,0.06844358554146204,0.6674157748940421
รถรับส่ง,shuttle bus,รถ+รับ+ส่ง,3,3,0.2294658087244337,0.12682078800449184,0.697043061301241
เครื่องเทศ,spice,เครื่อง+เทศ,2,2,0.2313505402514547,0.010143540799617767,0.8551618825048177
โกหก,to lie,โก+หก,2,2,0.23250644372384316,0.06665555039975347,0.4526163268903812
สะพาน,bridge,สะ+พาน,2,2,0.23525325541153178,0.13431749548420283,0.4122126125634227
สะพาน,bridge,สะ+พาน,2,2,0.23525325541153178,0.13431749548420283,0.4122126125634227
สับปะรด,pineapple,สับ+ปะ+รด,3,3,0.23620405939572062,0.13789024949073792,0.44262586084374994
สับปะรด,pineapple,สับ+ปะ+รด,3,3,0.23620405939572062,0.13789024949073792,0.44262586084374994
แสดง,to show,แส+ดง,2,2,0.24104402340126382,0.01332451482561319,0.7249899418530911
สวนสนุก,amusement park,สวน+สนุก,2,2,0.2538125796547199,0.27112056189057054,0.5247084280528526
สวนสนุก,amusement park,สวน+สนุก,2,2,0.2538125796547199,0.27112056189057054,0.5247084280528526
สวนสนุก,amusement park,สวน+สนุก,2,2,0.2538125796547199,0.27112056189057054,0.5247084280528526
สวนสนุก,amusement park,สวน+สนุก,2,2,0.2538125796547199,0.27112056189057054,0.5247084280528526
มันฝรั่ง,potato,มัน+ฝรั่ง,2,2,0.25430295002946635,0.18820065259933738,0.7196710516505006
เครื่องเทศ,spices,เครื่อง+เทศ,2,2,0.25606635427879587,0.030245503410696983,0.8551618825048177
รถไฟ,bicycle,รถ+ไฟ,2,2,0.2570539504658546,0.10169857740402222,0.4209161036069437
รถไฟ,bicycle,รถ+ไฟ,2,2,0.2570539504658546,0.10169857740402222,0.4209161036069437
พระจันทร์,moon,พระ+จันทร์,2,2,0.2623270546676552,0.12940754820243294,0.7492530116835583
พระจันทร์,moon,พระ+จันทร์,2,2,0.2623270546676552,0.12940754820243294,0.7492530116835583
พระอาทิตย์,sun,พระ+อาทิตย์,2,2,0.2716138121520586,0.09152797955608125,0.5644491273587103
พระอาทิตย์,sun,พระ+อาทิตย์,2,2,0.2716138121520586,0.09152797955608125,0.5644491273587103
ขอโทษ,"sorry, pardon, excuse me",ขอ+โทษ,2,2,0.2732200753719603,0.10190863162279273,0.9015331267581844
ขอโทษ,"pardon, sorry, excuse me",ขอ+โทษ,2,2,0.275421418575905,0.11252803429794186,0.9015331267581844
ดำเนิน,to conduct; to progress,ดำ+เนิน,2,2,0.2766563226509459,0.13015551803642297,0.6230163110652932
ขอโทษ,sorry; excuse me,ขอ+โทษ,2,2,0.2798905994269838,0.08243185789205337,0.9015331267581844
ภาคใต้,southern region,ภาค+ใต้,2,2,0.28168105130862764,0.14782377468489258,0.805692652331897
รสจัด,strong intense taste,รส+จัด,2,2,0.28247267940490667,0.2744351625442505,0.9247062602646652
ขอบใจ,thank you (to someone younger),ขอบ+ใจ,2,2,0.2884147693031427,0.24339036604108608,0.7033770289092104
ถ่ายรูป,take a photo,ถ่าย+รูป,2,2,0.2975055880820424,0.18629860877990723,0.8256499381163551
วันสงกรานต์,Songkran,วัน+สงกรานต์,2,2,0.2980367694935311,0.16420231248154118,0.7211206327801764
สวนสัตว์,zoo,สวน+สัตว์,2,2,0.3062285154135184,0.18154621124267578,0.6067322200129658
สวนสัตว์,zoo,สวน+สัตว์,2,2,0.3062285154135184,0.18154621124267578,0.6067322200129658
สวนสัตว์,zoo,สวน+สัตว์,2,2,0.3062285154135184,0.18154621124267578,0.6067322200129658
สวนสัตว์,zoo,สวน+สัตว์,2,2,0.3062285154135184,0.18154621124267578,0.6067322200129658
หน้าต่าง,window,หน้า+ต่าง,2,2,0.3089737863805687,0.17098631512955548,0.5222154795118952
ทุเรียน,durian,ทุ+เรียน,2,2,0.3140114577666484,0.166429340839386,0.9377812800317058
ทุเรียน,durian,ทุ+เรียน,2,2,0.3140114577666484,0.166429340839386,0.9377812800317058
มีหมอก,foggy,มี+หมอก,2,2,0.3184181975085947,0.2712191504966706,0.7515151181648082
มีหมอก,foggy,มี+หมอก,2,2,0.3184181975085947,0.2712191504966706,0.7515151181648082
ครอบครัว,family,ครอบ+ครัว,2,2,0.32149158594363425,0.14649364608450433,0.5584438966060108
ครอบครัว,family,ครอบ+ครัว,2,2,0.32149158594363425,0.14649364608450433,0.5584438966060108
ลำไย,longan,ลำ+ไย,2,2,0.32312581758769154,0.13394301437991943,0.9518691626212226
ลำไย,longan,ลำ+ไย,2,2,0.32312581758769154,0.13394301437991943,0.9518691626212226
วันสงกรานต์,Songkran; Thai New Year,วัน+สงกรานต์,2,2,0.32429801691039023,0.24105769395828247,0.7211206327801764
สี่แยก,"intersection, four-way junction",สี่+แยก,2,2,0.32672807369938944,0.37213961745972707,0.8926091433134283
ไม่เป็นไร,"it's ok, no problem",ไม่+เป็นไร,2,2,0.33288598445476525,0.4252912655646363,0.6842608789424074
รสจัด,strong; intense taste,รส+จัด,2,2,0.3399024080517663,0.31192266941070557,0.9247062602646652
คะน้า,kale,คะ+น้า,2,2,0.3413362593974198,0.23484678656776198,0.994489044702032
คะน้า,kale,คะ+น้า,2,2,0.3413362593974198,0.23484678656776198,0.994489044702032
ตกใจ,"to be frightened, to be shocked",ตก+ใจ,2,2,0.3455301669685304,0.35220364954515093,0.6788154241378416
ตอนเย็น,evening,ตอน+เย็น,2,2,0.35274382673472204,0.14227765798568726,0.4881473828297579
